Date,Equity,Cash
2022-01-07,1993415.6104379727,19746.91043797246
2022-01-10,1958851.7504379726,19746.91043797246
2022-01-11,1989945.6904379723,19746.91043797246
2022-01-12,1991261.2504379724,19746.91043797246
2022-01-13,1978048.5404379726,19746.91043797246
2022-01-14,1963907.7304379726,19746.91043797246
2022-01-18,1931066.2804379724,19746.91043797246
2022-01-19,1893112.7304379724,19746.91043797246
2022-01-20,1824245.0989379724,26887.29893797252
2022-01-21,1767634.8489379724,26887.29893797252
2022-01-24,1817943.1789379725,26887.29893797252
2022-01-25,1811288.4689379726,26887.29893797252
2022-01-26,1800014.8489379724,26887.29893797252
2022-01-27,1824152.3960379723,1824152.3960379723
2022-01-28,1824152.3960379723,1824152.3960379723
2022-01-31,1824152.3960379723,1824152.3960379723
2022-02-01,1824152.3960379723,1824152.3960379723
2022-02-02,1824152.3960379723,1824152.3960379723
2022-02-03,1824152.3960379723,1824152.3960379723
2022-02-04,1824152.3960379723,1824152.3960379723
2022-02-07,1824152.3960379723,1824152.3960379723
2022-02-08,1824152.3960379723,1824152.3960379723
2022-02-09,1824152.3960379723,1824152.3960379723
2022-02-10,1781108.322837972,399.11283797223587
2022-02-11,1762873.842837972,399.11283797223587
2022-02-14,1751992.342837972,399.11283797223587
2022-02-15,1776640.5628379723,399.11283797223587
2022-02-16,1793520.9628379722,399.11283797223587
2022-02-17,1765108.242837972,399.11283797223587
2022-02-18,1749674.5228379723,399.11283797223587
2022-02-22,1742478.0828379723,399.11283797223587
2022-02-23,1739525.202837972,399.11283797223587
2022-02-24,1736572.3098379723,1736572.3098379723
2022-02-25,1736572.3098379723,1736572.3098379723
2022-02-28,1736572.3098379723,1736572.3098379723
2022-03-01,1736572.3098379723,1736572.3098379723
2022-03-02,1736572.3098379723,1736572.3098379723
2022-03-03,1736572.3098379723,1736572.3098379723
2022-03-04,1736572.3098379723,1736572.3098379723
2022-03-07,1736572.3098379723,1736572.3098379723
2022-03-08,1736572.3098379723,1736572.3098379723
2022-03-09,1736572.3098379723,1736572.3098379723
2022-03-10,1736572.3098379723,1736572.3098379723
2022-03-11,1736572.3098379723,1736572.3098379723
2022-03-14,1736572.3098379723,1736572.3098379723
2022-03-15,1736572.3098379723,1736572.3098379723
2022-03-16,1736572.3098379723,1736572.3098379723
2022-03-17,1736572.3098379723,1736572.3098379723
2022-03-18,1736572.3098379723,1736572.3098379723
2022-03-21,1736572.3098379723,1736572.3098379723
2022-03-22,1736572.3098379723,1736572.3098379723
2022-03-23,1736572.3098379723,1736572.3098379723
2022-03-24,1736572.3098379723,1736572.3098379723
2022-03-25,1736572.3098379723,1736572.3098379723
2022-03-28,1736572.3098379723,1736572.3098379723
2022-03-29,1736572.3098379723,1736572.3098379723
2022-03-30,1736572.3098379723,1736572.3098379723
2022-03-31,1736572.3098379723,1736572.3098379723
2022-04-01,1736572.3098379723,1736572.3098379723
2022-04-04,1736572.3098379723,1736572.3098379723
2022-04-05,1736572.3098379723,1736572.3098379723
2022-04-06,1736572.3098379723,1736572.3098379723
2022-04-07,1736572.3098379723,1736572.3098379723
2022-04-08,1736572.3098379723,1736572.3098379723
2022-04-11,1736572.3098379723,1736572.3098379723
2022-04-12,1736572.3098379723,1736572.3098379723
2022-04-13,1736572.3098379723,1736572.3098379723
2022-04-14,1736572.3098379723,1736572.3098379723
2022-04-18,1736572.3098379723,1736572.3098379723
2022-04-19,1736572.3098379723,1736572.3098379723
2022-04-20,1736572.3098379723,1736572.3098379723
2022-04-21,1736572.3098379723,1736572.3098379723
2022-04-22,1736572.3098379723,1736572.3098379723
2022-04-25,1736572.3098379723,1736572.3098379723
2022-04-26,1736572.3098379723,1736572.3098379723
2022-04-27,1736572.3098379723,1736572.3098379723
2022-04-28,1736572.3098379723,1736572.3098379723
2022-04-29,1736572.3098379723,1736572.3098379723
2022-05-02,1736572.3098379723,1736572.3098379723
2022-05-03,1736572.3098379723,1736572.3098379723
2022-05-04,1736572.3098379723,1736572.3098379723
2022-05-05,1736572.3098379723,1736572.3098379723
2022-05-06,1736572.3098379723,1736572.3098379723
2022-05-09,1736572.3098379723,1736572.3098379723
2022-05-10,1733458.6965303246,1215612.178090078
2022-05-11,1716899.0674485986,1215612.178090078
2022-05-12,1715979.0858888451,1215612.178090078
2022-05-13,1739694.1227693383,1215612.178090078
2022-05-16,1735809.7518510644,1215612.178090078
2022-05-17,1756560.399373037,1215612.178090078
2022-05-18,1713219.141209585,1215612.178090078
2022-05-19,1706677.0674485986,1215612.178090078
2022-05-20,1707085.956807119,1215612.178090078
2022-05-23,1725689.9936876122,1215612.178090078
2022-05-24,1718023.4936876122,1215612.178090078
2022-05-25,1727121.0674485986,1215612.178090078
2022-05-26,1747053.9752473657,1215612.178090078
2022-05-27,1773222.2702913112,1215612.178090078
2022-05-31,1766782.399373037,1215612.178090078
2022-06-01,1757991.5121278588,1215612.178090078
2022-06-02,1778231.0674485986,1215612.178090078
2022-06-03,1760035.8809327905,1215612.178090078
2022-06-06,1763102.5121278588,1215612.178090078
2022-06-07,1773426.7149705712,1215612.178090078
2022-06-08,1761466.9936876122,1215612.178090078
2022-06-09,1735400.8624925439,1215612.178090078
2022-06-10,1705041.549008352,1215612.178090078
2022-06-13,1667731.2334108178,1215612.178090078
2022-06-14,1656779.700761377,715304.7594180696
2022-06-15,1683342.315000116,715304.7594180696
2022-06-16,1621005.7532687779,715304.7594180696
2022-06-17,1622505.2517314546,715304.7594180696
2022-06-21,1668561.5094180696,715304.7594180696
2022-06-22,1664919.8936420076,715304.7594180696
2022-06-23,1683985.0155673614,715304.7594180696
2022-06-24,1745036.2578807466,715304.7594180696
2022-06-27,1737752.9446120851,715304.7594180696
2022-06-28,1695766.8242240543,715304.7594180696
